                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.49825,                 0.7976,                0.34384,                0.80617,                   0.86,                0.80556,                0.81322,                0.69067,                0.82085,                0.79699,                0.80405,                0.53041,                 0.4342,                0.80348,                0.32503,                0.79666,             0.00035469,             0.00035469,             0.00035469
                     61,                  0.491,                 0.7748,                0.34307,                0.80403,                0.84546,                0.80221,                0.80704,                0.68886,                0.82409,                 0.8013,                0.80041,                0.54358,                0.42732,                0.75126,                0.32134,                0.79557,             0.00034644,             0.00034644,             0.00034644
                     62,                0.48169,                0.77125,                0.33663,                0.80299,                0.83838,                0.80634,                0.79779,                0.68052,                0.81297,                0.78593,                0.78086,                 0.5194,                0.44047,                 0.6832,                0.31798,                0.79623,              0.0003382,              0.0003382,              0.0003382
                     63,                0.47719,                0.74892,                0.33361,                0.80313,                0.83512,                0.81343,                0.80437,                0.68566,                0.80584,                0.79145,                0.78706,                0.52082,                0.43227,                0.73905,                0.31521,                0.79571,             0.00032995,             0.00032995,             0.00032995
                     64,                0.48893,                0.77055,                0.33667,                 0.8051,                0.85989,                0.80454,                0.80983,                0.69072,                0.81025,                0.78989,                0.78972,                0.50257,                0.41933,                0.70722,                0.31565,                0.79347,              0.0003217,              0.0003217,              0.0003217
                     65,                0.46955,                0.75017,                0.32859,                0.79993,                0.90431,                0.79809,                0.81561,                0.69508,                0.80373,                0.79632,                 0.7926,                0.52394,                0.42175,                 0.7241,                0.31526,                0.79453,             0.00031346,             0.00031346,             0.00031346
                     66,                0.47835,                0.75811,                0.32998,                0.80229,                0.84889,                0.80798,                 0.8127,                0.69364,                0.82991,                0.77594,                 0.7788,                0.54315,                0.43373,                0.68661,                0.32465,                 0.7956,             0.00030521,             0.00030521,             0.00030521
                     67,                0.47992,                0.74847,                0.33184,                0.79751,                0.84171,                0.80382,                0.80164,                0.68988,                0.78857,                0.78398,                0.77072,                0.52162,                0.44185,                0.70732,                0.32585,                0.79596,             0.00029696,             0.00029696,             0.00029696
                     68,                0.47558,                0.74305,                0.32963,                0.80242,                0.87482,                 0.7961,                0.80412,                0.68897,                0.80797,                0.77767,                0.78187,                0.53298,                 0.4265,                0.69698,                 0.3141,                0.79474,             0.00028872,             0.00028872,             0.00028872
                     69,                0.45868,                0.71622,                0.32457,                0.79928,                0.84767,                0.80935,                0.80732,                0.69728,                0.83223,                0.77074,                0.78314,                0.54264,                0.42476,                0.70023,                0.31848,                0.79448,             0.00028047,             0.00028047,             0.00028047
                     70,                0.46668,                0.75129,                0.32355,                0.79758,                0.85077,                0.80798,                0.80762,                0.70055,                0.81037,                0.77653,                0.78397,                0.55614,                0.41897,                0.67669,                0.31314,                0.79408,             0.00027222,             0.00027222,             0.00027222
                     71,                0.46007,                0.72078,                0.32152,                0.80114,                0.86985,                0.81929,                0.81363,                0.69904,                0.82175,                0.77868,                 0.7801,                0.55599,                0.42284,                0.69208,                0.31562,                0.79391,             0.00026398,             0.00026398,             0.00026398
                     72,                0.46575,                0.73503,                0.32639,                 0.8015,                0.85871,                0.81585,                0.81342,                0.69827,                0.79253,                 0.7872,                0.77913,                0.55351,                0.42823,                0.68124,                0.32355,                0.79348,             0.00025573,             0.00025573,             0.00025573
                     73,                0.45569,                0.71642,                0.32201,                0.79971,                0.85331,                0.81292,                0.81622,                0.69879,                0.78053,                 0.7802,                 0.7791,                0.54643,                0.42933,                0.67649,                0.31715,                 0.7955,             0.00024748,             0.00024748,             0.00024748
                     74,                0.46023,                0.73047,                0.32042,                0.79731,                0.83703,                0.81416,                0.80986,                0.70348,                0.81539,                0.77625,                0.78494,                0.54964,                0.41371,                0.67114,                0.30791,                0.79435,             0.00023924,             0.00023924,             0.00023924
                     75,                0.45091,                0.71451,                0.31424,                0.79642,                0.83882,                0.82115,                0.81252,                0.69938,                0.80043,                0.76343,                0.77126,                0.54526,                0.41111,                 0.6473,                0.30507,                0.79435,             0.00023099,             0.00023099,             0.00023099
