,Data,Hour,Minute,Seconds,Microseconds,Time Norm,Track_ID,Object Class,X,Y,Temp,Humidity,Rain,Showers,Snowfall,Cloud  Cover
110,20240118,0,1,27,848873,0.00101676936342593,9,0,1923.47290039063,352.286254882812,-3.5,85,0,0,0,100
111,20240118,0,1,27,848873,0.00101676936342593,10,2,3381.62841796875,1307.85668945313,-3.5,85,0,0,0,100
112,20240118,0,1,27,848873,0.00101676936342593,11,0,1927.70043945312,264.966705322266,-3.5,85,0,0,0,100
113,20240118,0,1,27,848873,0.00101676936342593,12,4,1923.84399414063,535.489624023438,-3.5,85,0,0,0,100
114,20240118,0,1,27,848873,0.00101676936342593,13,2,3500.28173828125,1301.37768554688,-3.5,85,0,0,0,100
115,20240118,0,1,27,848873,0.00101676936342593,14,1,1699.41967773438,484.909240722656,-3.5,85,0,0,0,100
116,20240118,0,1,27,848873,0.00101676936342593,15,2,3604.119140625,1289.5302734375,-3.5,85,0,0,0,100
117,20240118,0,1,27,848873,0.00101676936342593,16,2,3478.3759765625,1235.8017578125,-3.5,85,0,0,0,100
118,20240118,0,1,27,848873,0.00101676936342593,17,1,2243.07080078125,683.113891601563,-3.5,85,0,0,0,100
119,20240118,0,1,28,42571,0.00101901123842593,1,0,2003.62866210937,415.688232421875,-3.5,85,0,0,0,100
120,20240118,0,1,28,42571,0.00101901123842593,2,0,670.509399414063,466.082458496094,-3.5,85,0,0,0,100
121,20240118,0,1,28,42571,0.00101901123842593,3,3,3055.2900390625,1076.75415039063,-3.5,85,0,0,0,100
122,20240118,0,1,28,42571,0.00101901123842593,4,3,3093.36865234375,1131.64611816406,-3.5,85,0,0,0,100
123,20240118,0,1,28,42571,0.00101901123842593,5,2,3269.87329101562,1115.41760253906,-3.5,85,0,0,0,100
124,20240118,0,1,28,42571,0.00101901123842593,6,0,1152.69775390625,326.428527832031,-3.5,85,0,0,0,100
125,20240118,0,1,28,42571,0.00101901123842593,7,1,3576.08032226562,1215.80224609375,-3.5,85,0,0,0,100
126,20240118,0,1,28,42571,0.00101901123842593,8,0,763.86279296875,684.778198242188,-3.5,85,0,0,0,100
127,20240118,0,1,28,42571,0.00101901123842593,9,0,1923.50134277344,352.234985351562,-3.5,85,0,0,0,100
128,20240118,0,1,28,42571,0.00101901123842593,10,2,3381.5380859375,1307.93676757813,-3.5,85,0,0,0,100
129,20240118,0,1,28,42571,0.00101901123842593,11,0,1927.6650390625,264.968627929687,-3.5,85,0,0,0,100
130,20240118,0,1,28,42571,0.00101901123842593,12,4,1923.84594726563,535.072692871094,-3.5,85,0,0,0,100
131,20240118,0,1,28,42571,0.00101901123842593,13,2,3500.2578125,1301.38635253906,-3.5,85,0,0,0,100
132,20240118,0,1,28,42571,0.00101901123842593,14,1,1699.32592773438,484.978454589844,-3.5,85,0,0,0,100
133,20240118,0,1,28,42571,0.00101901123842593,15,2,3604.146484375,1289.53503417969,-3.5,85,0,0,0,100
134,20240118,0,1,28,42571,0.00101901123842593,16,2,3478.375,1235.80493164063,-3.5,85,0,0,0,100
135,20240118,0,1,28,42571,0.00101901123842593,17,1,2242.47119140625,683.52001953125,-3.5,85,0,0,0,100
136,20240118,0,1,28,250300,0.00102141550925926,1,0,2003.58056640625,415.628753662109,-3.5,85,0,0,0,100
137,20240118,0,1,28,250300,0.00102141550925926,2,0,670.335876464844,466.020568847656,-3.5,85,0,0,0,100
138,20240118,0,1,28,250300,0.00102141550925926,3,3,3055.216796875,1076.75671386719,-3.5,85,0,0,0,100
139,20240118,0,1,28,250300,0.00102141550925926,4,3,3093.28076171875,1131.65783691406,-3.5,85,0,0,0,100
140,20240118,0,1,28,250300,0.00102141550925926,5,2,3269.90234375,1115.4501953125,-3.5,85,0,0,0,100
141,20240118,0,1,28,250300,0.00102141550925926,6,0,1152.7919921875,326.338684082031,-3.5,85,0,0,0,100
142,20240118,0,1,28,250300,0.00102141550925926,7,1,3576.08715820312,1215.78784179688,-3.5,85,0,0,0,100
143,20240118,0,1,28,250300,0.00102141550925926,8,0,761.518188476563,686.722229003906,-3.5,85,0,0,0,100
144,20240118,0,1,28,250300,0.00102141550925926,9,0,1923.51831054688,352.184478759766,-3.5,85,0,0,0,100
145,20240118,0,1,28,250300,0.00102141550925926,10,2,3381.51831054688,1307.98266601563,-3.5,85,0,0,0,100
146,20240118,0,1,28,250300,0.00102141550925926,11,0,1927.69995117188,264.938720703125,-3.5,85,0,0,0,100
147,20240118,0,1,28,250300,0.00102141550925926,12,4,1923.80847167969,534.989135742188,-3.5,85,0,0,0,100
148,20240118,0,1,28,250300,0.00102141550925926,13,2,3500.25659179687,1301.41040039063,-3.5,85,0,0,0,100
149,20240118,0,1,28,250300,0.00102141550925926,14,1,1699.18286132813,484.869049072266,-3.5,85,0,0,0,100
150,20240118,0,1,28,250300,0.00102141550925926,15,2,3604.18505859375,1289.58764648438,-3.5,85,0,0,0,100
151,20240118,0,1,28,250300,0.00102141550925926,16,2,3478.41845703125,1235.798828125,-3.5,85,0,0,0,100
152,20240118,0,1,28,250300,0.00102141550925926,17,1,2238.08349609375,683.814086914063,-3.5,85,0,0,0,100
153,20240118,0,1,28,443014,0.00102364599537037,1,0,2003.74499511719,415.617401123047,-3.5,85,0,0,0,100
154,20240118,0,1,28,443014,0.00102364599537037,2,0,670.1044921875,466.158996582031,-3.5,85,0,0,0,100
155,20240118,0,1,28,443014,0.00102364599537037,3,3,3055.1494140625,1076.75915527344,-3.5,85,0,0,0,100
156,20240118,0,1,28,443014,0.00102364599537037,4,3,3093.15869140625,1131.65112304688,-3.5,85,0,0,0,100
157,20240118,0,1,28,443014,0.00102364599537037,5,2,3269.8837890625,1115.44653320313,-3.5,85,0,0,0,100
158,20240118,0,1,28,443014,0.00102364599537037,6,0,1152.75732421875,326.300872802734,-3.5,85,0,0,0,100
159,20240118,0,1,28,443014,0.00102364599537037,7,1,3576.03955078125,1215.79113769531,-3.5,85,0,0,0,100
160,20240118,0,1,28,443014,0.00102364599537037,8,0,758.853149414063,688.101196289063,-3.5,85,0,0,0,100
161,20240118,0,1,28,443014,0.00102364599537037,9,0,1923.60778808594,352.204498291016,-3.5,85,0,0,0,100
162,20240118,0,1,28,443014,0.00102364599537037,10,2,3381.49829101562,1307.97204589844,-3.5,85,0,0,0,100
163,20240118,0,1,28,443014,0.00102364599537037,11,0,1927.64672851563,264.916656494141,-3.5,85,0,0,0,100
164,20240118,0,1,28,443014,0.00102364599537037,12,4,1922.71447753906,534.941101074219,-3.5,85,0,0,0,100
165,20240118,0,1,28,443014,0.00102364599537037,13,2,3500.236328125,1301.404296875,-3.5,85,0,0,0,100
166,20240118,0,1,28,443014,0.00102364599537037,14,1,1698.42309570313,484.525634765625,-3.5,85,0,0,0,100
167,20240118,0,1,28,443014,0.00102364599537037,15,2,3604.17529296875,1289.59619140625,-3.5,85,0,0,0,100
168,20240118,0,1,28,443014,0.00102364599537037,16,2,3478.4091796875,1235.75903320313,-3.5,85,0,0,0,100
169,20240118,0,1,28,649364,0.00102603430555556,1,0,2003.74255371094,415.753204345703,-3.5,85,0,0,0,100
170,20240118,0,1,28,649364,0.00102603430555556,2,0,670.009155273438,466.10986328125,-3.5,85,0,0,0,100
171,20240118,0,1,28,649364,0.00102603430555556,3,3,3055.1015625,1076.7763671875,-3.5,85,0,0,0,100
172,20240118,0,1,28,649364,0.00102603430555556,4,3,3093.080078125,1131.685546875,-3.5,85,0,0,0,100
173,20240118,0,1,28,649364,0.00102603430555556,5,2,3269.8994140625,1115.44580078125,-3.5,85,0,0,0,100
174,20240118,0,1,28,649364,0.00102603430555556,6,0,1152.82287597656,326.271148681641,-3.5,85,0,0,0,100
175,20240118,0,1,28,649364,0.00102603430555556,7,1,3576.05615234375,1215.75073242188,-3.5,85,0,0,0,100
176,20240118,0,1,28,649364,0.00102603430555556,8,0,757.182800292969,689.766845703125,-3.5,85,0,0,0,100
177,20240118,0,1,28,649364,0.00102603430555556,9,0,1923.53125,352.237976074219,-3.5,85,0,0,0,100
178,20240118,0,1,28,649364,0.00102603430555556,10,2,3381.52734375,1307.9765625,-3.5,85,0,0,0,100
179,20240118,0,1,28,649364,0.00102603430555556,11,0,1927.69958496094,264.997253417969,-3.5,85,0,0,0,100
180,20240118,0,1,28,649364,0.00102603430555556,12,4,1922.07055664063,535.324096679688,-3.5,85,0,0,0,100
181,20240118,0,1,28,649364,0.00102603430555556,13,2,3500.26025390625,1301.43591308594,-3.5,85,0,0,0,100
182,20240118,0,1,28,649364,0.00102603430555556,14,1,1698.13305664063,484.355621337891,-3.5,85,0,0,0,100
183,20240118,0,1,28,649364,0.00102603430555556,15,2,3604.1650390625,1289.61206054688,-3.5,85,0,0,0,100
184,20240118,0,1,28,649364,0.00102603430555556,16,2,3478.48681640625,1235.73559570313,-3.5,85,0,0,0,100
185,20240118,0,1,28,649364,0.00102603430555556,17,1,2235.86352539062,683.912353515625,-3.5,85,0,0,0,100
186,20240118,0,1,28,841030,0.00102825266203704,1,0,2003.72082519531,415.8154296875,-3.5,85,0,0,0,100
187,20240118,0,1,28,841030,0.00102825266203704,2,0,670.270935058594,466.019653320313,-3.5,85,0,0,0,100
188,20240118,0,1,28,841030,0.00102825266203704,3,3,3055.04956054687,1076.80212402344,-3.5,85,0,0,0,100
189,20240118,0,1,28,841030,0.00102825266203704,4,3,3093.091796875,1131.6748046875,-3.5,85,0,0,0,100
190,20240118,0,1,28,841030,0.00102825266203704,5,2,3269.904296875,1115.44702148438,-3.5,85,0,0,0,100
191,20240118,0,1,28,841030,0.00102825266203704,6,0,1152.90466308594,326.256408691406,-3.5,85,0,0,0,100
192,20240118,0,1,28,841030,0.00102825266203704,7,1,3576.05029296875,1215.74096679688,-3.5,85,0,0,0,100
193,20240118,0,1,28,841030,0.00102825266203704,8,0,755.610473632813,690.179016113281,-3.5,85,0,0,0,100
194,20240118,0,1,28,841030,0.00102825266203704,9,0,1923.37280273438,352.267395019531,-3.5,85,0,0,0,100
195,20240118,0,1,28,841030,0.00102825266203704,10,2,3381.5546875,1307.98254394531,-3.5,85,0,0,0,100
196,20240118,0,1,28,841030,0.00102825266203704,11,0,1927.72534179688,265.030334472656,-3.5,85,0,0,0,100
197,20240118,0,1,28,841030,0.00102825266203704,12,4,1921.70581054688,535.452514648437,-3.5,85,0,0,0,100
198,20240118,0,1,28,841030,0.00102825266203704,13,2,3500.26586914062,1301.44213867188,-3.5,85,0,0,0,100
199,20240118,0,1,28,841030,0.00102825266203704,14,1,1698.08178710938,484.326019287109,-3.5,85,0,0,0,100
200,20240118,0,1,28,841030,0.00102825266203704,15,2,3604.15576171875,1289.61437988281,-3.5,85,0,0,0,100
201,20240118,0,1,28,841030,0.00102825266203704,16,2,3478.50244140625,1235.7353515625,-3.5,85,0,0,0,100
